"","country","continent","subcontinent","pcgdp","hdi","polstab","goveff","corrupt","law","regul","voice","polity","demo","demindx","poverty","growth","homicide","politydem"
"1","Afghanistan","Asia","Southern Asia",664.799987792969,0.467999994754791,1,7,2,1,9,13,-66,NA,2.48000001907349,NA,2.40000009536743,7,NA
"2","Albania","Europe","Southern Europe",4458.10009765625,0.716000020503998,48,44,26,36,57,51,9,"Democratic",5.67000007629395,3.70000004768372,-0.100000001490116,5,9
"3","Algeria","Africa","Northern Africa",5360.7001953125,0.717000007629395,13,32,39,29,11,23,2,"Non-Democratic",3.82999992370605,NA,1.89999997615814,NA,3
"4","American Samoa","Oceania","Polynesia",NA,NA,80,69,66,86,62,82,NA,NA,NA,NA,0.100000001490116,NA,NA
"5","Andorra","Europe","Southern Europe",41014.69921875,0.829999983310699,94,92,87,90,92,93,NA,NA,NA,NA,1.10000002384186,NA,NA
"6","Angola","Africa","Middle Africa",5782.7001953125,0.526000022888184,36,11,5,9,15,16,-2,"Non-Democratic",3.34999990463257,NA,3.09999990463257,10,2
"7","Anguilla","Americas","Caribbean",NA,NA,100,92,87,89,89,82,NA,NA,NA,NA,NA,NA,NA
"8","Antigua and Barbuda","Americas","Caribbean",13342.099609375,0.773999989032745,81,69,87,75,71,67,NA,NA,NA,NA,1,11,NA
"9","Argentina","Americas","South America",15008.7998046875,0.808000028133392,49,44,41,28,18,56,8,"Democratic",6.84000015258789,NA,0.899999976158142,NA,8
"10","Armenia","Asia","Western Asia",3504.39990234375,0.730000019073486,50,58,40,45,59,29,5,"Non-Democratic",4.01999998092651,3.70000004768372,0.300000011920929,2,5
"11","Aruba","Americas","Caribbean",NA,NA,96,85,82,87,91,91,NA,NA,NA,NA,0.5,NA,NA
"12","Australia","Oceania","Australia and New Zealand",67743,0.933000028133392,83,95,94,96,97,94,10,"Democratic",9.13000011444092,NA,1.70000004768372,1,10
"13","Austria","Europe","Western Europe",50513.3984375,0.880999982357025,97,93,90,98,91,96,10,"Democratic",8.47999954223633,NA,0.600000023841858,1,10
"14","Azerbaijan","Asia","Western Asia",7811.60009765625,0.746999979019165,33,39,19,30,35,11,-7,"Non-Democratic",3.05999994277954,NA,1.29999995231628,NA,0
"15","Bahamas","Americas","Caribbean",22343.19921875,0.788999974727631,90,75,89,69,57,75,NA,NA,NA,NA,1.39999997615814,30,NA
"16","Bahrain","Asia","Western Asia",24694.69921875,0.814999997615814,9,70,69,62,71,12,-8,"Non-Democratic",2.86999988555908,NA,1.10000002384186,NA,0
"17","Bangladesh","Asia","Southern Asia",957.799987792969,0.558000028133392,8,22,21,23,21,35,5,"Non-Democratic",5.8600001335144,NA,1.20000004768372,3,NA
"18","Barbados","Americas","Caribbean",15039.7998046875,0.776000022888184,93,88,91,82,66,88,NA,NA,NA,NA,0.5,7,NA
"19","Belarus","Europe","Eastern Europe",7722.10009765625,0.78600001335144,46,17,37,20,14,6,-7,"Non-Democratic",3.03999996185303,NA,0,NA,0
"20","Belgium","Europe","Western Europe",46927.19921875,0.880999982357025,75,93,92,89,88,93,8,"Democratic",8.05000019073486,NA,0.5,2,8
